id,run_id,row_id,title,description,source,category,link,image_url,status,scheduled_at,created_at,updated_at,likes,content,slug,excerpt,meta_title,meta_description,meta_keywords,canonical_url,og_title,og_description,og_image,focus_keyword,is_indexable,is_followable,images
NULL,NULL,NULL,Bhabiji Ghar Par Hain Fun On The Run (Bollywood) Movie,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/movies/bhabiji-ghar-par-hain-fun-on-the-run.html?ref_source=FB-EN&ref_medium=Header&ref_campaign=DB-Search,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bhabiji Ghar Par Hain Fun On The Run (Bollywood) Movie,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Paro Pinaki Ki Kahani (Bollywood) Movie,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/movies/paro-pinaki-ki-kahani.html?ref_source=FB-EN&ref_medium=Header&ref_campaign=DB-Search,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Paro Pinaki Ki Kahani (Bollywood) Movie,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Upcoming Movies,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/upcoming-movies.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Upcoming Movies,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Border 2 vs Dhurandhar Week 2 Box Office Collection: Sunny vs Ranveer; Who Took A Lead In 2nd Week?,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/box-office/2026/border-2-vs-dhurandhar-week-2-box-office-collection-sunny-vs-ranveer-who-took-a-lead-in-2nd-week-500939.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Border 2 vs Dhurandhar Week 2 Box Office Collection: Sunny vs Ranveer; Who Took A Lead In 2nd Week?,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Rajpal Yadav Surrenders In Tihar Jail After Delhi High Court Rejects Extension Plea; Read DEETS,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/news/2026/rajpal-yadav-surrenders-in-tihar-jail-after-delhi-high-court-rejects-extension-plea-read-deets-500919.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Rajpal Yadav Surrenders In Tihar Jail After Delhi High Court Rejects Extension Plea; Read DEETS,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Anushka Sharma Beams With Joy As Smriti Mandhana Led RCB Wins WPL 2026; Says 'History Repeated',,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/news/2026/anushka-sharma-beams-with-joy-as-smriti-mandhana-led-rcb-wins-wpl-2026-says-history-repeated-011-500933.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Anushka Sharma Beams With Joy As Smriti Mandhana Led RCB Wins WPL 2026; Says 'History Repeated',,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Dil Dhokha Aur Desire's Akanksha On Comfort Level While Shooting Intimate Scenes: Humare Saare Inhibitions…,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/ott/2026/dil-dhokha-aur-desires-akanksha-on-comfort-level-for-shooting-intimate-scenes-humare-inhibitions-500993.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Dil Dhokha Aur Desire's Akanksha On Comfort Level While Shooting Intimate Scenes: Humare Saare Inhibitions…,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Shraddha Kapoor-Randeep Hooda To Adivi Sesh Mrunal Thakur: Fresh New Jodis To Look Forward To On Screen,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/features/2026/shraddha-kapoor-randeep-hooda-to-adivi-sesh-mrunal-thakur-fresh-new-jodis-to-look-forward-to-on-scr-500991.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Shraddha Kapoor-Randeep Hooda To Adivi Sesh Mrunal Thakur: Fresh New Jodis To Look Forward To On Screen,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Ghooskhor Pandat Controversy,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/2026/ghooskhor-pandat-controversy-neeraj-pandey-manoj-bajpayee-react-to-upcoming-netflix-film-title-row-500983.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Ghooskhor Pandat Controversy,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Randeep Hooda’s Simple Act Sends A Strong Message,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/news/2026/randeep-hooda-s-simple-act-sends-a-strong-message-on-cleanliness-and-co-existing-with-nature-500979.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Randeep Hooda’s Simple Act Sends A Strong Message,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Valentine's Day Special: Deepika Padukone - Tamannaah Bhatia,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/features/2026/valentines-day-special-deepika-padukone-tamannaah-bhatia-top-5-female-pairs-that-prove-gal-fri-500973.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Valentine's Day Special: Deepika Padukone - Tamannaah Bhatia,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Subedaar Teaser Poster Out: Megastar Anil Kapoor Drops,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/news/2026/subedaar-teaser-poster-out-megastar-anil-kapoor-drops-explosive-poster-a-warning-delivered-with-au-500967.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Subedaar Teaser Poster Out: Megastar Anil Kapoor Drops,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Pankaj Tripathi Makes Stage Comeback After 12 Years,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/news/2026/pankaj-tripathi-makes-stage-comeback-after-12-years-with-home-production-lailaaj-performs-with-daug-011-500957.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Pankaj Tripathi Makes Stage Comeback After 12 Years,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Bigg Boss Marathi 6 Voting Results Week 4 Feb 6 Update,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/bigg-boss-marathi-6-elimination-voting-results-week-4-feb-6-who-will-get-lowest-votes-aayush-omkar-500955.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bigg Boss Marathi 6 Voting Results Week 4 Feb 6 Update,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Elvish Yadav-Jiya Shankar Engaged?,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/elvish-yadav-jiya-shankar-engaged-or-not-jiyaa-flaunt-ring-instagram-photo-bigg-boss-winner-500863.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Elvish Yadav-Jiya Shankar Engaged?,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Bigg Boss Marathi 6 Voting List (Early Trends) Week 4,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/bigg-boss-marathi-6-voting-list-week-early-result-who-is-unsafe-in-elimination-deepali-aayush-anushr-500755.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bigg Boss Marathi 6 Voting List (Early Trends) Week 4,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Bigg Boss Marathi 6 Voting: Who Is Getting Highest Votes?,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/bigg-boss-marathi-6-voting-trends-today-week-4-who-is-leading-with-highest-votes-tanvi-raqesh-roshan-500745.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bigg Boss Marathi 6 Voting: Who Is Getting Highest Votes?,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Bigg Boss Marathi 6 Current Voting Trends Week 4,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/bigg-boss-marathi-6-current-voting-trends-week-4-feb-4-who-is-not-getting-enough-votes-anushri-deepa-500641.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bigg Boss Marathi 6 Current Voting Trends Week 4,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,Bigg Boss Marathi 6 Opening Voting Trends Week 4,,FilmiBeat,Entertainment,https://www.filmibeat.com/television/news/2026/bigg-boss-marathi-6-opening-voting-trends-week-4-who-is-at-what-position-jan-28-roshan-divya-sachin-500363.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,Bigg Boss Marathi 6 Opening Voting Trends Week 4,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
NULL,NULL,NULL,CCL 2026 Final LIVE Scorecard Bengal Vs Karnataka,,FilmiBeat,Entertainment,https://www.filmibeat.com/bollywood/viral/2026/ccl-2026-final-live-scorecard-bengal-tigers-vs-karnataka-bulldozers-ccl-12-final-match-results-500151.html,NULL,published,NULL,2026-02-06 15:00:47.979456,2026-02-06 15:00:47.979456,0,,NULL,NULL,CCL 2026 Final LIVE Scorecard Bengal Vs Karnataka,,NULL,NULL,NULL,NULL,NULL,NULL,True,True,NULL
